TOC
0.79
0.5
0.52
0.37
0.47
0.42
1.9
1.7
1.5
1.13
0.81
0.86
1.14
1.4
0.7
0.1
0.3
2.1
0.2
1
0.4
0.1
0.6
0.2
0.1
0.4
0.1
0.4
0.3
1.4
1.4
0.8
1.3
1.3
0.9
1.2
0.7
0.3
0.6
0.4
0.4
0.5
0.4
0.2
0.2
0.4
0.5
0.4
0.6
1.9
0.9
1.1
1.9
1.6
2.1
1.5
0.8
0.5
1.3
1.7
1.4
1.886
1.5
1.6
2.5
1.5
1.8
1.6
2.8
1.8
3.1
3.8
4.1
4
4.1
4
2.4
3.3
2.3
3.2
1.912
1.641
2.11
2.362
2.157
2.195
1.85
1.022
0.99
1.393
1.798
1.439
0.295
0.216
0.213
0.164
0.374
0.336
0.363
0.437
0.885
1.182
1.106
0.980
0.869
0.984
0.832
0.817
1.072
1.182
1.670
1.9
0.71
1.29
0.84
0.94
0.96
0.65
0.76
0.39
0.84
0.84
